dpi,time,inoc,nutrient,round,replicate,aphid_mass.mg,conc,quant_t,nutrient_t,ext_date_t,RT_date_t,PCR_date_t,gel_date_t,PAV_t,RPV_t,notes_t,ext_notes_t,gel_notes_t,material,ID,high_N,high_P,high_N_t,high_P_t,co,t_up,t_dn,conc_s,quant_s
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,low,3/31/16,4/1/16,4/1/16,4/4/16,0,1,NA,NA,NA,shoot,2.1.PAV.low.3.low,0,0,0,0,0,0,0,-0.5383183081113125,-0.36680962725317995
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,N,3/31/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,2.1.PAV.low.3.N,0,0,1,0,0,0,0,-0.5383183081113125,-0.36680962725317995
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,N+P,3/31/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,2.1.PAV.low.3.N+P,0,0,1,1,0,0,0,-0.5383183081113125,-0.36680962725317995
5,1,PAV,low,2,3,76,69.67933029292108,5295.629102262002,P,3/31/16,4/1/16,4/1/16,4/4/16,0,0,NA,NA,NA,shoot,2.1.PAV.low.3.P,0,0,0,1,0,0,0,-0.5383183081113125,-0.36680962725317995
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,low,2/29/16,3/4/16,3/5/16,3/5/16,0.5,0,NA,NA,NA,shoot,2.1.PAV.N.3.low,1,0,0,0,0,1,0,-0.4257909284294023,-0.37729970421522063
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,N,2/29/16,3/4/16,3/5/16,3/5/16,0,0,NA,NA,NA,shoot,2.1.PAV.N.3.N,1,0,1,0,0,0,0,-0.4257909284294023,-0.37729970421522063
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,N+P,2/29/16,3/4/16,3/5/16,3/5/16,1,0,NA,NA,NA,shoot,2.1.PAV.N.3.N+P,1,0,1,1,0,1,1,-0.4257909284294023,-0.37729970421522063
5,1,PAV,N,2,3,37.900000000000006,118.27940562251322,4482.789473093252,P,2/29/16,3/4/16,3/5/16,3/5/16,0,0,NA,NA,NA,shoot,2.1.PAV.N.3.P,1,0,0,1,0,0,0,-0.4257909284294023,-0.37729970421522063
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,low,8/18/15,8/19/15,8/21/15,8/21/15,0,0,NA,NA,NA,shoot,2.2.coinfection.P.3.low,0,1,0,0,1,0,0,-0.11054058289848614,-0.301509754893109
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,N,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.N,0,1,1,0,1,1,1,-0.11054058289848614,-0.301509754893109
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,N+P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.11054058289848614,-0.301509754893109
8,2,coinfection,P,2,3,40.7,254.43462921158164,10355.489408911373,P,8/18/15,8/19/15,8/21/15,8/21/15,1,1,NA,NA,NA,shoot,2.2.coinfection.P.3.P,0,1,0,1,1,1,1,-0.11054058289848614,-0.301509754893109
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,low,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N.4.low,1,0,0,0,0,0,0,-0.3739264733027394,-0.26067937741314323
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,N,2/16/15,2/19/16,2/19/16,2/19/16,0.5,0,NA,NA,NA,shoot,3.2.PAV.N.4.N,1,0,1,0,0,1,0,-0.3739264733027394,-0.26067937741314323
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,N+P,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.2.PAV.N.4.N+P,1,0,1,1,0,1,1,-0.3739264733027394,-0.26067937741314323
8,2,PAV,N,3,4,96.10000000000001,140.67943335984512,13519.293545881117,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N.4.P,1,0,0,1,0,0,0,-0.3739264733027394,-0.26067937741314323
8,2,PAV,N+P,3,4,66.9,96.25691678032524,6439.587732603759,low,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N+P.4.low,1,1,0,0,0,0,0,-0.47678123959002316,-0.3520463041534589
8,2,PAV,N+P,3,4,66.9,96.25691678032524,6439.587732603759,N+P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N+P.4.N+P,1,1,1,1,0,0,0,-0.47678123959002316,-0.3520463041534589
8,2,PAV,N+P,3,4,66.9,96.25691678032524,6439.587732603759,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.2.PAV.N+P.4.P,1,1,0,1,0,0,0,-0.47678123959002316,-0.3520463041534589
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,low,2/9/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.3.coinfection.low.5.low,0,0,0,0,1,1,0,0.891944523098228,0.2142243722552208
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.low.5.N,0,0,1,0,1,1,1,0.891944523098228,0.2142243722552208
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.low.5.N+P,0,0,1,1,1,1,1,0.891944523098228,0.2142243722552208
12,3,coinfection,low,4,5,73.2,687.403492486968,50317.93565004606,P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.low.5.P,0,0,0,1,1,1,1,0.891944523098228,0.2142243722552208
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,low,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.low,0,1,0,0,1,1,1,-0.08823138969445432,-0.24839678578174523
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.N,0,1,1,0,1,1,1,-0.08823138969445432,-0.24839678578174523
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.08823138969445432,-0.24839678578174523
12,3,coinfection,P,2,3,54.800000000000004,264.069870637475,14471.02891093363,P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.P.3.P,0,1,0,1,1,1,1,-0.08823138969445432,-0.24839678578174523
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,low,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.P.4.low,0,1,0,0,1,0,0,-0.5097184780640823,-0.33468588280164713
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,N,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.P.4.N,0,1,1,0,1,0,0,-0.5097184780640823,-0.33468588280164713
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,N+P,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.P.4.N+P,0,1,1,1,1,0,0,-0.5097184780640823,-0.33468588280164713
12,3,coinfection,P,3,4,94.89999999999999,82.03146982232278,7784.7864861384305,P,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.P.4.P,0,1,0,1,1,1,1,-0.5097184780640823,-0.33468588280164713
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,low,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.P.5.low,0,1,0,0,1,1,1,-0.18558387049012334,-0.3001955909003902
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.P.5.N,0,1,1,0,1,1,1,-0.18558387049012334,-0.3001955909003902
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.P.5.N+P,0,1,1,1,1,1,1,-0.18558387049012334,-0.3001955909003902
12,3,coinfection,P,4,5,47.1,222.02376671533068,10457.319412292076,P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.P.5.P,0,1,0,1,1,0,0,-0.18558387049012334,-0.3001955909003902
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,low,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.low,1,0,0,0,1,1,1,-0.36171189247580404,-0.26694530358509605
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,N,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.N,1,0,1,0,1,1,1,-0.36171189247580404,-0.26694530358509605
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,N+P,3/1/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,3.3.coinfection.N.4.N+P,1,0,1,1,1,1,1,-0.36171189247580404,-0.26694530358509605
12,3,coinfection,N,3,4,89.30000000000001,145.95485655006345,13033.768689920667,P,3/1/16,3/4/16,3/5/16,3/5/16,0,1,NA,NA,NA,shoot,3.3.coinfection.N.4.P,1,0,0,1,1,0,0,-0.36171189247580404,-0.26694530358509605
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,low,2/9/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.coinfection.N.5.low,1,0,0,0,1,0,0,-0.3704741065219733,-0.19259469037099564
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.3.coinfection.N.5.N,1,0,1,0,1,1,1,-0.3704741065219733,-0.19259469037099564
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,N+P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.N.5.N+P,1,0,1,1,1,0,0,-0.3704741065219733,-0.19259469037099564
12,3,coinfection,N,4,5,132.20000000000002,142.1704952337189,18794.93946989764,P,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.3.coinfection.N.5.P,1,0,0,1,1,0,0,-0.3704741065219733,-0.19259469037099564
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.low,1,1,0,0,1,1,1,-0.47354537303101335,-0.310510829551961
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.47354537303101335,-0.310510829551961
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.N+P,1,1,1,1,1,1,1,-0.47354537303101335,-0.310510829551961
12,3,coinfection,N+P,2,3,98.9,97.65447317032502,9658.027396545145,P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.coinfection.N+P.3.P,1,1,0,1,1,1,1,-0.47354537303101335,-0.310510829551961
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,low,2/16/15,2/19/16,2/19/16,2/19/16,0,0.5,NA,NA,NA,shoot,3.3.PAV.low.4.low,0,0,0,0,0,0,0,-0.5390752113148829,-0.3310607262151739
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,N,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.low.4.N,0,0,1,0,0,0,0,-0.5390752113148829,-0.3310607262151739
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,N+P,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.low.4.N+P,0,0,1,1,0,1,1,-0.5390752113148829,-0.3310607262151739
12,3,PAV,low,3,4,116.3,69.35242716219224,8065.687278962958,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.low.4.P,0,0,0,1,0,0,0,-0.5390752113148829,-0.3310607262151739
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,low,2/11/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.3.PAV.low.5.low,0,0,0,0,0,1,1,-0.3215099206059875,-0.28381975694509637
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,N,2/11/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.PAV.low.5.N,0,0,1,0,0,0,0,-0.3215099206059875,-0.28381975694509637
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,N+P,2/11/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.3.PAV.low.5.N+P,0,0,1,1,0,1,1,-0.3215099206059875,-0.28381975694509637
12,3,PAV,low,4,5,71.8,163.31790958474923,11726.225908184993,P,2/11/16,2/12/16,2/12/16,2/12/16,0,0,NA,NA,NA,shoot,4.3.PAV.low.5.P,0,0,0,1,0,0,0,-0.3215099206059875,-0.28381975694509637
12,3,PAV,P,2,3,88.2,369.5000327402751,32589.902887692268,low,2/23/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.3.PAV.P.3.low,0,1,0,0,0,1,1,0.15587892907378392,-0.014564212096714603
12,3,PAV,P,2,3,88.2,369.5000327402751,32589.902887692268,N,2/23/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.3.PAV.P.3.N,0,1,1,0,0,1,1,0.15587892907378392,-0.014564212096714603
12,3,PAV,P,2,3,88.2,369.5000327402751,32589.902887692268,N+P,2/23/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.PAV.P.3.N+P,0,1,1,1,0,1,1,0.15587892907378392,-0.014564212096714603
12,3,PAV,P,2,3,88.2,369.5000327402751,32589.902887692268,P,2/23/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.3.PAV.P.3.P,0,1,0,1,0,1,1,0.15587892907378392,-0.014564212096714603
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,low,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.P.4.low,0,1,0,0,0,1,1,-0.48121295700128563,-0.3494374524294453
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,N,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.P.4.N,0,1,1,0,0,1,1,-0.48121295700128563,-0.3494374524294453
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,N+P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.P.4.N+P,0,1,1,1,0,0,0,-0.48121295700128563,-0.3494374524294453
12,3,PAV,P,3,4,70.4,94.34287772035906,6641.738591513278,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.P.4.P,0,1,0,1,0,0,0,-0.48121295700128563,-0.3494374524294453
12,3,PAV,N,2,3,93.60000000000001,294.28579417265587,27545.150334560592,low,2/29/16,3/4/16,3/5/16,3/5/16,1,0,NA,NA,NA,shoot,2.3.PAV.N.3.low,1,0,0,0,0,1,1,-0.018270208008536987,-0.07966911180604729
12,3,PAV,N,2,3,93.60000000000001,294.28579417265587,27545.150334560592,N,2/29/16,3/4/16,3/5/16,3/5/16,1,0,NA,NA,NA,shoot,2.3.PAV.N.3.N,1,0,1,0,0,1,1,-0.018270208008536987,-0.07966911180604729
12,3,PAV,N,2,3,93.60000000000001,294.28579417265587,27545.150334560592,N+P,2/29/16,3/4/16,3/5/16,3/5/16,1,1,NA,NA,NA,shoot,2.3.PAV.N.3.N+P,1,0,1,1,0,1,1,-0.018270208008536987,-0.07966911180604729
12,3,PAV,N,2,3,93.60000000000001,294.28579417265587,27545.150334560592,P,2/29/16,3/4/16,3/5/16,3/5/16,1,0,NA,NA,NA,shoot,2.3.PAV.N.3.P,1,0,0,1,0,1,1,-0.018270208008536987,-0.07966911180604729
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,low,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.N.4.low,1,0,0,0,0,1,1,-0.542903665409816,-0.3484825026009366
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,N,2/16/15,2/19/16,2/19/16,2/19/16,1,0,NA,NA,NA,shoot,3.3.PAV.N.4.N,1,0,1,0,0,1,1,-0.542903665409816,-0.3484825026009366
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,N+P,2/16/15,2/19/16,2/19/16,2/19/16,0.5,0,NA,NA,NA,shoot,3.3.PAV.N.4.N+P,1,0,1,1,0,1,0,-0.542903665409816,-0.3484825026009366
12,3,PAV,N,3,4,99.2,67.69893484827183,6715.734336948566,P,2/16/15,2/19/16,2/19/16,2/19/16,0,0,NA,NA,NA,shoot,3.3.PAV.N.4.P,1,0,0,1,0,0,0,-0.542903665409816,-0.3484825026009366
12,3,PAV,N+P,4,5,161.5,128.05156276007023,20680.32738575134,low,2/22/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,4.3.PAV.N+P.5.low,1,1,0,0,0,1,1,-0.4031647240650727,-0.1682628743142014
12,3,PAV,N+P,4,5,161.5,128.05156276007023,20680.32738575134,N,2/22/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,4.3.PAV.N+P.5.N,1,1,1,0,0,1,1,-0.4031647240650727,-0.1682628743142014
12,3,PAV,N+P,4,5,161.5,128.05156276007023,20680.32738575134,N+P,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.3.PAV.N+P.5.N+P,1,1,1,1,0,1,1,-0.4031647240650727,-0.1682628743142014
12,3,PAV,N+P,4,5,161.5,128.05156276007023,20680.32738575134,P,2/22/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,4.3.PAV.N+P.5.P,1,1,0,1,0,1,1,-0.4031647240650727,-0.1682628743142014
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,low,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.low,0,0,0,0,1,1,1,0.05081852223595641,-0.048226176826053124
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N,0,0,1,0,1,1,1,0.05081852223595641,-0.048226176826053124
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.N+P,0,0,1,1,1,1,1,0.05081852223595641,-0.048226176826053124
16,4,coinfection,low,2,3,92.5,324.12490980655554,29981.554157106388,P,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.low.3.P,0,0,0,1,1,1,1,0.05081852223595641,-0.048226176826053124
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,low,2/9/16,2/12/16,2/12/16,2/12/16,0,1,NA,NA,NA,shoot,4.4.coinfection.low.5.low,0,0,0,0,1,0,0,0.7163863983022188,0.3043971797796923
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,N,2/9/16,2/12/16,2/12/16,2/12/16,1,0,NA,NA,NA,shoot,4.4.coinfection.low.5.N,0,0,1,0,1,1,1,0.7163863983022188,0.3043971797796923
16,4,coinfection,low,4,5,93.7,611.5807183858876,57305.11331275767,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,0,NA,NA,NA,shoot,4.4.coinfection.low.5.P,0,0,0,1,1,1,0,0.7163863983022188,0.3043971797796923
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,low,2/24/16,2/26/16,2/26/16,2/26/16,1,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.low,0,1,0,0,1,1,1,-0.15089494211172103,-0.14274329786940543
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,N,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.N,0,1,1,0,1,1,1,-0.15089494211172103,-0.14274329786940543
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,N+P,2/24/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.N+P,0,1,1,1,1,1,1,-0.15089494211172103,-0.14274329786940543
16,4,coinfection,P,2,3,95.60000000000001,237.00576076032488,22657.75072868706,P,2/24/16,2/26/16,2/26/16,2/26/16,0,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.coinfection.P.3.P,0,1,0,1,1,0,0,-0.15089494211172103,-0.14274329786940543
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,N,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N,1,0,1,0,1,1,1,-0.331576059901688,-0.21399107542643325
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,N+P,2/9/16,2/12/16,2/12/16,2/12/16,1,1,NA,NA,NA,shoot,4.4.coinfection.N.5.N+P,1,0,1,1,1,1,1,-0.331576059901688,-0.21399107542643325
16,4,coinfection,N,4,5,107.80000000000001,158.97038874642425,17137.007906864535,P,2/9/16,2/12/16,2/12/16,2/12/16,0.5,1,NA,NA,NA,shoot,4.4.coinfection.N.5.P,1,0,0,1,1,1,0,-0.331576059901688,-0.21399107542643325
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,N,12/15/15,1/6/16,1/7/16,1/7/16,1,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N,1,1,1,0,1,1,1,-0.003343889366313376,-0.2372164712923217
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,N+P,12/15/15,1/6/16,1/7/16,1/7/16,0,1,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.N+P,1,1,1,1,1,0,0,-0.003343889366313376,-0.2372164712923217
16,4,coinfection,N+P,2,3,51,300.7324048771454,15337.352648734417,P,12/15/15,1/6/16,1/7/16,1/7/16,0,0,NA,NA,PAV ctrl didn't show up,shoot,2.4.coinfection.N+P.3.P,1,1,0,1,1,0,0,-0.003343889366313376,-0.2372164712923217
16,4,PAV,low,2,3,65.4,156.00174849966177,10202.51435187788,low,2/23/16,2/26/16,2/26/16,2/26/16,1,0,NA,NA,RT ctrl positive for RPV,shoot,2.4.PAV.low.3.low,0,0,0,0,0,1,1,-0.33844957410760196,-0.303483969810749
16,4,PAV,low,2,3,65.4,156.00174849966177,10202.51435187788,N,2/23/16,2/26/16,2/26/16,2/26/16,1,1,NA,NA,RT ctrl positive for RPV,shoot,2.4.PAV.low.3.N,0,0,1,0,0,1,1,-0.33844957410760196,-0.303483969810749
16,4,PAV,low,2,3,65.4,156.00174849966177,10202.51435187788,N+P,2/23/16,2/26/16,2/26/16,2/26/16,0.5,0.5,NA,NA,RT ctrl positive for RPV,shoot,2.4.PAV.low.3.N+P,0,0,1,1,0,1,0,-0.33844957410760196,-0.303483969810749
16,4,PAV,low,2,3,65.4,156.00174849966177,10202.51435187788,P,2/23/16,2/26/16,2/26/16,2/26/16,0,0,NA,NA,RT ctrl positive for RPV,shoot,2.4.PAV.low.3.P,0,0,0,1,0,0,0,-0.33844957410760196,-0.303483969810749
